DMModule,submodel,Tables,url,Table,Abbreviation,Description,TableModule,Activity code
Accounting,Accounting Entry By Lot,TABCUR.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABCUR.htm,TABCUR,TCU,Currency table,Supervisor,
Accounting,Accounting Entry By Lot,FACILITY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/FACILITY.htm,FACILITY,FCY,Sites,Supervisor,
Accounting,Accounting Entry By Lot,BPARTNER.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BPARTNER.htm,BPARTNER,BPR,Business partner,Common Data,
Accounting,Accounting Entry By Lot,CADSP.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CADSP.htm,CADSP,DSP,Analytical allocations,Common Data,
Accounting,Accounting Entry By Lot,TABVAT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABVAT.htm,TABVAT,TVT,Tax code table,Common Data,
Accounting,Accounting Entry By Lot,CACCE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CACCE.htm,CACCE,CCE,Dimensions,Common Data,
Accounting,Accounting Entry By Lot,TABUNIT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABUNIT.htm,TABUNIT,TUN,Table of units of measure,Supervisor,
Accounting,Accounting Entry By Lot,GACCOUNT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCOUNT.htm,GACCOUNT,GAC,Accounts,Common Data,
Accounting,Accounting Entry By Lot,ATABDIV.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ATABDIV.htm,ATABDIV,ADI,Miscellaneous tables,Supervisor,
Accounting,Accounting Entry By Lot,GJOURNAL.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GJOURNAL.htm,GJOURNAL,JOU,Journal codes,Financials,
Accounting,Accounting Entry By Lot,GTYPACCENT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GTYPACCENT.htm,GTYPACCENT,GTE,Document types,Common Data,
Accounting,Accounting Entry By Lot,GDIAENTRY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GDIAENTRY.htm,GDIAENTRY,GDE,Entry transactions,Financials,
Accounting,Accounting Data,AGRPCPY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/AGRPCPY.htm,AGRPCPY,AGC,Company groupings,Supervisor,
Accounting,Accounting Data,GCOA.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GCOA.htm,GCOA,COA,Chart of accounts,Common Data,
Accounting,Accounting Data,GDIAACCD.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GDIAACCD.htm,GDIAACCD,GDC,Account scheme lines,Financials,
Accounting,Accounting Data,CACCE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CACCE.htm,CACCE,CCE,Dimensions,Common Data,
Accounting,Accounting Data,GDIE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GDIE.htm,GDIE,DIE,Dimension types,Common Data,
Accounting,Accounting Data,GACM.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACM.htm,GACM,GCM,Account core model,Common Data,
Accounting,Accounting Data,GDIAACC.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GDIAACC.htm,GDIAACC,GDA,Account scheme header,Financials,
Accounting,Accounting Data,TABVAT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABVAT.htm,TABVAT,TVT,Tax code table,Common Data,
Accounting,Accounting Data,ATABDIV.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ATABDIV.htm,ATABDIV,ADI,Miscellaneous tables,Supervisor,
Accounting,Accounting Data,GDIAENTRY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GDIAENTRY.htm,GDIAENTRY,GDE,Entry transactions,Financials,
Accounting,Accounting Data,GACCOUNT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCOUNT.htm,GACCOUNT,GAC,Accounts,Common Data,
Accounting,Accounting Data,FACILITY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/FACILITY.htm,FACILITY,FCY,Sites,Supervisor,
Accounting,Accounting Data,COMPANY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/COMPANY.htm,COMPANY,CPY,Company,Supervisor,
Accounting,Accounting Data,CADISTMP.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CADISTMP.htm,CADISTMP,DTP,Budget weighting codes,Financials,
Accounting,Accounting Data,GRPCUR.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GRPCUR.htm,GRPCUR,GCU,Currency groups,Financials,
Accounting,Accounting Data,GRPSAC.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GRPSAC.htm,GRPSAC,GSC,Control groups,Financials,
Accounting,Accounting Data,TABCUR.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABCUR.htm,TABCUR,TCU,Currency table,Supervisor,
Accounting,Accounting Data,CADSP.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CADSP.htm,CADSP,DSP,Analytical allocations,Common Data,
Accounting,Accounting Data,GDIAENTRYD.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GDIAENTRYD.htm,GDIAENTRYD,GDD,Journal entry transactions,Financials,
Accounting,Budgets,GACCOUNT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCOUNT.htm,GACCOUNT,GAC,Accounts,Common Data,
Accounting,Budgets,GCOA.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GCOA.htm,GCOA,COA,Chart of accounts,Common Data,
Accounting,Budgets,GDIE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GDIE.htm,GDIE,DIE,Dimension types,Common Data,
Accounting,Budgets,GACCPYM.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCPYM.htm,GACCPYM,GYM,Account pyramids,Common Data,
Accounting,Budgets,GCCEPYM.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GCCEPYM.htm,GCCEPYM,CYM,Dimension pyramids,Common Data,
Accounting,Budgets,BUDFORCAL.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUDFORCAL.htm,BUDFORCAL,BUC,Budget calculation formula,Financials,
Accounting,Budgets,BUDVARCAL.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUDVARCAL.htm,BUDVARCAL,BVC,Budget calculation variable,Financials,
