Linked object,Linked table,dataType,filler1,filler2,filler3
BPT,BPCARRIER,Alphanumeric,,,
BSG,BPSCATEG,Alphanumeric,5c,,
BSIFILFM,BSIFILFMT,Alphanumeric,,,BSI
,,Alphanumeric,,,BSI
BSIIMPP,BSIIMPPAR,Alphanumeric,,,BSI
,,Alphanumeric,,,BSI
BSIIMPTC,BSIIMPTC,Alphanumeric,,,BSI
BUP,BUDPAR,Alphanumeric,,,
BUT,BUDTYP,Alphanumeric,5c,,GDD
BUV,BUDVER,Alphanumeric,,,
,,Short integer,,,
CAB,CFGABQ,Alphanumeric,,,CFG
CAC,GACCCODE,Alphanumeric,10c,,
,,Alphanumeric,=GFMT,,
CAEC,CAECOD,Alphanumeric,,,KPO
ECA,EDICAT,Alphanumeric,,,EDIX3
CCC,ITMCOMP,Alphanumeric,20X,,
CCE,CACCE,Alphanumeric,=GCCEFMT,,
,,Alphanumeric,,,CCM
AUS,AUTILIS,Alphanumeric,,,CCM
AUS,AUTILIS,Alphanumeric,,,CCM
AUS,AUTILIS,Alphanumeric,,,CCM
AUS,AUTILIS,Alphanumeric,,,CCM
,,Alphanumeric,,,CCM
,,Alphanumeric,10X,,ECC
,,Alphanumeric,10X,,ECC
,,Alphanumeric,,,CCM
,,Decimal,1.2#,,
CDA,GACCDENCOD,Alphanumeric,5c,,
CDE,CACCEDEF,Alphanumeric,,,
CFG,CFGSCE,Alphanumeric,,,CFG
CFM,CFGMAC,Alphanumeric,,,CFG
,,Alphanumeric,,,
CGD,CALIGUIDES,Alphanumeric,8c,,MWM
CLS,GACCCLS,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
CMG,CMARKETING,Alphanumeric,20X,,
,,Alphanumeric,,,
COA,GCOA,Alphanumeric,,,
,,Decimal,,,
CON,CONTSERV,Alphanumeric,20X,,
COR,CORRESPOND,Alphanumeric,20X,,
COT,CONTTEMPL,Alphanumeric,20X,,
,,Short integer,4#,,
CPY,COMPANY,Alphanumeric,,,
CQU,CFGQST,Alphanumeric,,,CFG
,,Alphanumeric,=GFMT,,
,,Alphanumeric,=GFMT,,
TCY,TABCOUNTRY,Alphanumeric,,,
CSE,CFGSEL,Alphanumeric,,,CFG
CSTAXUI2,CSTAXUID,Alphanumeric,,,DCL
CSVATMAP,CSVATMAP,Alphanumeric,,,DCL
,,Alphanumeric,,,
CTA,PJMTSKCAT,Alphanumeric,,,PJM
CTN,CONTAINERS,Alphanumeric,8c,,
,,Alphanumeric,10X,,
,,Alphanumeric,=GFMT,,
TCU,TABCUR,Alphanumeric,,,
CYM,GCCEPYM,Alphanumeric,,,
CRY,GCCEGRUPYM,Alphanumeric,,,
,,Date,,,
,,Date,,,
DAD,CDIADSP,Alphanumeric,10c,,
,,Alphanumeric,,,
,,Decimal,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
,,Date,,,
,,Date,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
DIE,GDIE,Alphanumeric,,,
DIH,DIAHOU,Alphanumeric,10X,,
,,Long integer,,,DMW
,,Long integer,,,DMW
DMWSC,DMWSCHEME,Alphanumeric,30c,,DMW
,,Alphanumeric,,,KPO
DSP,CADSP,Alphanumeric,10c,,
DTP,CADISTMP,Alphanumeric,10c,,
,,Alphanumeric,,,
,,Alphanumeric,10X,,
,,Alphanumeric,,,EDIX3
,,Alphanumeric,,,EDIX3
,,Alphanumeric,,,EDIX3
EDS,EDISEG,Alphanumeric,3c,,
,,Alphanumeric,=GFMT,,
,,Alphanumeric,,,EDIX3
,,Alphanumeric,,,EDIX3
,,Alphanumeric,,,EDIX3
,,Alphanumeric,10X,,
ENT,ENTITE,Alphanumeric,,,GDD
ENV,ENVELOPPE,Alphanumeric,,,GDD
,,Long integer,,,EDIX3
EPR,EDIPARTNER,Alphanumeric,,,EDIX3
,,Alphanumeric,5d,,ESL
,,Alphanumeric,,,EDIX3
,,Alphanumeric,10X,,
,,Alphanumeric,,,EDIX3
FCC,FRTCOMCOD,Alphanumeric,,,
FCS,FRECST,Alphanumeric,,,
FCT,FACTOR,Alphanumeric,,,
FCY,FACILITY,Alphanumeric,,,
AWI,AWINDOW,Alphanumeric,,,
FGP,FUPGRP,Alphanumeric,,,FUP
,,Alphanumeric,,,
TFO,TABFOR,Alphanumeric,,,
FRT,FRTCLS,Alphanumeric,,,
FUP,TMPFUP0,Alphanumeric,,,FUP
GAC,GACCOUNT,Alphanumeric,=GFMTACC,,
GAF,GACCFIX,Alphanumeric,10c,,
GAS,GACCENTRY,Alphanumeric,20X,,
GAU,GAUTACE,Alphanumeric,5c,,
GCM,GACM,Alphanumeric,,,
GCO,GCACCOA,Alphanumeric,5c,,
GCU,GRPCUR,Alphanumeric,4c,,
GDA,GDIAACC,Alphanumeric,10c,,
GDE,GDIAENTRY,Alphanumeric,,,
GDS,GDUDSCR,Alphanumeric,5c,,
,,Alphanumeric,,,
GFP,GFUPSCR,Alphanumeric,5c,,
GFSATT,GFSATT,Alphanumeric,,,GFSA
GFSATTV,GFSATTVAL,Alphanumeric,,,GFSA
GFSSTM,GFSSETTIM,Alphanumeric,,,GFSA
GFSOPT,GFSOPTMAT,Alphanumeric,,,GFSA
GRA,GRPAUTACE,Alphanumeric,5c,,
GRY,GACCGRUPYM,Alphanumeric,,,
GSC,GRPSAC,Alphanumeric,5c,,
GSTGRP,GSTGRP,Alphanumeric,,,KAU
GTC,GTABACC,Alphanumeric,,,
GTE,GTYPACCENT,Alphanumeric,5d,,
GTEGRP,GTEGRP,Alphanumeric,5d,,
GYM,GACCPYM,Alphanumeric,,,
,,Text file,,,
,,Text file,,,
,,Text file,,,
,,Text file,,,
,,Text file,,,
,,Text file,,,
,,Alphanumeric,##[:]##,,
,,Alphanumeric,###[:]##,,
,,Alphanumeric,##[:]##,,
,,Alphanumeric,##[:]##[:]##,,
HSH,HANDLING,Alphanumeric,8c,,MWM
ICT,INCOTERM,Alphanumeric,,,
ICV,ITMCPTVER,Alphanumeric,5X,,
,,Alphanumeric,10X,,
,,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
INDREF,SFTINDREF,Alphanumeric,,,
,,Alphanumeric,,,
INO,ITMCUSNOM,Alphanumeric,12#,,
INVCND,TABINVCND,Alphanumeric,20c,,
,,Long integer,,,
,,Long integer,,,
ITF,ITMFACILIT,Alphanumeric,20c,,
ITG,ITMCATEG,Alphanumeric,5c,,
ITM,ITMMASTER,Alphanumeric,20c,,
ITS,ITMSALES,Alphanumeric,20c,,
JOU,GJOURNAL,Alphanumeric,5c,,
,,Long integer,,,
TLA,TABLAN,Alphanumeric,,,
LED,GLED,Alphanumeric,,,
LOC,STOLOC,Alphanumeric,10c,,
,,Alphanumeric,,,
LPN,LPN,Alphanumeric,,,
,,Decimal,5F,,
,,Local menu,,,
,,Local menu,,1,
MAC,MACHINES,Alphanumeric,20X,,
,,Alphanumeric,30X>50X,,
MAT,MATCHTOL,Alphanumeric,,,
,,Decimal,=GDEVFM1(1),,
,,Decimal,,,
,,Decimal,=GDEVFMT,,
,,Decimal,=GFMT,,
,,Decimal,=GFMT,,
,,Decimal,,,
,,Decimal,9.4#,,
,,Decimal,11.6#,,
,,Decimal,10.4#,,
,,Decimal,,,
,,Decimal,,,
,,Decimal,=GDEVFMT,,
TMD,TABMODELIV,Alphanumeric,5c,,
MDT,MANDATE,Alphanumeric,,,SDD
MFG,MFGHEAD,Alphanumeric,20c,,
MGTW,MGTWASTE,Alphanumeric,,,
,,Alphanumeric,,,
,,Local menu,,,
,,Short integer,,,
MOD1,MODSCALE,Alphanumeric,,,MWM
,,Decimal,=[F:TCU]CURFMT1,,
MTO,MTOHEAD,Alphanumeric,20c,,
,,Alphanumeric,=GFMT,,
,,Alphanumeric,,,
AUS,AUTILIS,Alphanumeric,,,
AUS,AUTILIS,Alphanumeric,,,
AUS,AUTILIS,Alphanumeric,,,
NCSH,NCSRECENT,Alphanumeric,,,NCS
,,Alphanumeric,,,
,,Alphanumeric,=GFMT,,
NTG,NOTCATEG,Alphanumeric,,,
ONA,OVENAT,Alphanumeric,3c,,
,,Short integer,4#,,
OPP,OPPOR,Alphanumeric,20X,,
,,Alphanumeric,15c,,
OVE,OVERHEAD,Alphanumeric,3c,,
,,Alphanumeric,=GFMT,,
,,Alphanumeric,10X,,
,,Alphanumeric,,,
PBDECO,PBDECOCOD,Alphanumeric,,,
PBIL,PJMPRGBILH,Alphanumeric,,,PJM
PBL,FAMPB,Alphanumeric,20X,,
,,Alphanumeric,,,PJM
TPA,TABPACKAGE,Alphanumeric,5c,,
,,Alphanumeric,,,
PFI,PFOOTINV,Short integer,3#,,
PIH,PINVOICE,Alphanumeric,20X,,
PIM,PIMPL,Alphanumeric,,,
PIT,PIVOTS,Alphanumeric,,,
PJCC,PJMCOSTCTR,Alphanumeric,,,PJM
PJQ,PJMBUDTRQ,Alphanumeric,,,PJM
PJS,PJMBUDTRS,Alphanumeric,,,PJM
PIM,PIMPL,Alphanumeric,20X>20X,,
PJTC,PJMTIMCAT,Alphanumeric,,,PJM
PIM,PIMPL,Alphanumeric,20X>20X,,PJM
,,Alphanumeric,,,NCS
NCSP,PLANHDR,Alphanumeric,,,NCS
,,Alphanumeric,6c,,
,,Alphanumeric,,,
POH,PORDER,Alphanumeric,20X,,
,,Alphanumeric,=GFMT,,
PPC,PPRICCONF,Alphanumeric,6B,,
PPR,PPREASON,Short integer,2#,,
,,Alphanumeric,30X,,
,,Alphanumeric,230X,,
,,Alphanumeric,5c,,
PREPI,PREPINVOICE,Alphanumeric,,,PREPM
PRJ,PROJET,Alphanumeric,,,GDD
PRS,PRICSTRUCT,Alphanumeric,10c,,
PRV,HONPRV,Alphanumeric,,,
PS1,PARSTA1,Alphanumeric,,,
PS2,PARSTA2,Alphanumeric,,,
PSH,PREQUIS,Alphanumeric,20X,,
PSO,PJMSOLITMH,Alphanumeric,20X,,PJM
,,Alphanumeric,,,EDIX3
TPT,TABPAYTERM,Alphanumeric,15c,,
PTO,PARMTO,Alphanumeric,5c,,
QLC,QLYCRD,Alphanumeric,8c,,
QST,QLYCRDQST,Alphanumeric,8c,,
,,Decimal,=GUNTFMT,,
,,Decimal,3.2#,,
