Table,Abbreviation,Description,Column,Normal title,Type,Link expression,TableName____ColumnName____Columndescription
AABREV,AAB,Abbreviation,ABREV,Abbreviation,A,,AABREV___ABREV___Abbreviation
AABREV,AAB,Abbreviation,AUUID,Single identifier,AUUID,,AABREV___AUUID___Single identifier
AABREV,AAB,Abbreviation,CREDATTIM,Date time,ADATIM,,AABREV___CREDATTIM___Date time
AABREV,AAB,Abbreviation,CREUSR,User,AUS,[AUS]CODUSR=[AAB]CREUSR,AABREV___CREUSR___User
AABREV,AAB,Abbreviation,MOT,Word,A,,AABREV___MOT___Word
AABREV,AAB,Abbreviation,UPDDATTIM,Date time,ADATIM,,AABREV___UPDDATTIM___Date time
AABREV,AAB,Abbreviation,UPDUSR,User,AUS,[AUS]CODUSR=[AAB]UPDUSR,AABREV___UPDUSR___User
ABANK,ABN,Bank sort codes,AUUID,Single identifier,AUUID,,ABANK___AUUID___Single identifier
ABANK,ABN,Bank sort codes,BAN,Bank,A,,ABANK___BAN___Bank
ABANK,ABN,Bank sort codes,BIC,BIC code,A,,ABANK___BIC___BIC code
ABANK,ABN,Bank sort codes,CREDAT,Date created,D,,ABANK___CREDAT___Date created
ABANK,ABN,Bank sort codes,CREDATTIM,Date time,ADATIM,,ABANK___CREDATTIM___Date time
ABANK,ABN,Bank sort codes,CREUSR,Creation user,AUS,[AUS]CODUSR=[ABN]CREUSR,ABANK___CREUSR___Creation user
ABANK,ABN,Bank sort codes,CRY,Cnty,CRY,[TCY]TCY0=[ABN]CRY,ABANK___CRY___Cnty
ABANK,ABN,Bank sort codes,PAB,Paying bank,PAB,,ABANK___PAB___Paying bank
ABANK,ABN,Bank sort codes,PORBANCOD,Bank code,A,,ABANK___PORBANCOD___Bank code
ABANK,ABN,Bank sort codes,UPDDAT,Change date,D,,ABANK___UPDDAT___Change date
ABANK,ABN,Bank sort codes,UPDDATTIM,Date time,ADATIM,,ABANK___UPDDATTIM___Date time
ABANK,ABN,Bank sort codes,UPDUSR,Change user,AUS,[AUS]CODUSR=[ABN]UPDUSR,ABANK___UPDUSR___Change user
ABANK,ABN,Bank sort codes,VLYEND,Validity end date,D,,ABANK___VLYEND___Validity end date
ABANK,ABN,Bank sort codes,VLYSTR,Validity start date,D,,ABANK___VLYSTR___Validity start date
ABATABT,ABA,Batch server (recurring tasks),AUUID,Single identifier,AUUID,,ABATABT___AUUID___Single identifier
ABATABT,ABA,Batch server (recurring tasks),CAL,Calendar,ABC,[ABC]ABC0=[ABA]CAL,ABATABT___CAL___Calendar
ABATABT,ABA,Batch server (recurring tasks),CNTERR,Proceed if error,M,,ABATABT___CNTERR___Proceed if error
ABATABT,ABA,Batch server (recurring tasks),CODABT,Recurring task code,ABA,[ABA]CODABT=[ABA]CODABT,ABATABT___CODABT___Recurring task code
ABATABT,ABA,Batch server (recurring tasks),CREDAT,Date created,D,,ABATABT___CREDAT___Date created
ABATABT,ABA,Batch server (recurring tasks),CREDATTIM,Date time,ADATIM,,ABATABT___CREDATTIM___Date time
ABATABT,ABA,Batch server (recurring tasks),CRETIM,Time,L,,ABATABT___CRETIM___Time
ABATABT,ABA,Batch server (recurring tasks),CREUSR,Creation user,AUS,[AUS]CODUSR=[ABA]CREUSR,ABATABT___CREUSR___Creation user
ABATABT,ABA,Batch server (recurring tasks),DATDEP,Base date,M,,ABATABT___DATDEP___Base date
ABATABT,ABA,Batch server (recurring tasks),DATFRM,Formula,AFR,,ABATABT___DATFRM___Formula
ABATABT,ABA,Batch server (recurring tasks),DATJRS,Time unit,M,,ABATABT___DATJRS___Time unit
ABATABT,ABA,Batch server (recurring tasks),DATNBR,Increment,C,,ABATABT___DATNBR___Increment
ABATABT,ABA,Batch server (recurring tasks),DATZON,Date field,A,,ABATABT___DATZON___Date field
ABATABT,ABA,Batch server (recurring tasks),DJOUR,Last date,D,,ABATABT___DJOUR___Last date
ABATABT,ABA,Batch server (recurring tasks),DOSSIER,Folder,ADS,[ADS]DOSSIER=[ABA]DOSSIER,ABATABT___DOSSIER___Folder
ABATABT,ABA,Batch server (recurring tasks),DREL,Reminder,M,,ABATABT___DREL___Reminder
ABATABT,ABA,Batch server (recurring tasks),ENAFLG,Active,M,,ABATABT___ENAFLG___Active
ABATABT,ABA,Batch server (recurring tasks),EPUR,Purge,M,,ABATABT___EPUR___Purge
ABATABT,ABA,Batch server (recurring tasks),FDM,Month end,M,,ABATABT___FDM___Month end
ABATABT,ABA,Batch server (recurring tasks),FORCE,Forced execution,M,,ABATABT___FORCE___Forced execution
ABATABT,ABA,Batch server (recurring tasks),FRQ,Frequency (min),L,,ABATABT___FRQ___Frequency (min)
ABATABT,ABA,Batch server (recurring tasks),GRP,Group,ABG,[ABG]ABG0=[ABA]GRP,ABATABT___GRP___Group
ABATABT,ABA,Batch server (recurring tasks),HDEB,Start time,HM,,ABATABT___HDEB___Start time
ABATABT,ABA,Batch server (recurring tasks),HEURE,Time,HM,,ABATABT___HEURE___Time
ABATABT,ABA,Batch server (recurring tasks),HFIN,End time,HM,,ABATABT___HFIN___End time
ABATABT,ABA,Batch server (recurring tasks),JOUR,Current date,M,,ABATABT___JOUR___Current date
ABATABT,ABA,Batch server (recurring tasks),LAN,Language,LAN,[TLA]TLA0=[ABA]LAN,ABATABT___LAN___Language
ABATABT,ABA,Batch server (recurring tasks),NBDAT,No. of lines,C,,ABATABT___NBDAT___No. of lines
ABATABT,ABA,Batch server (recurring tasks),NOMABT,Description,DES,,ABATABT___NOMABT___Description
ABATABT,ABA,Batch server (recurring tasks),ONE,One single query,M,,ABATABT___ONE___One single query
ABATABT,ABA,Batch server (recurring tasks),PERIO,Periodicity,M,,ABATABT___PERIO___Periodicity
ABATABT,ABA,Batch server (recurring tasks),QUANT,Days of the month,C,,ABATABT___QUANT___Days of the month
ABATABT,ABA,Batch server (recurring tasks),TACHE,Task code,ABT,[ABT]CODTAC=[ABA]TACHE,ABATABT___TACHE___Task code
ABATABT,ABA,Batch server (recurring tasks),UPDDAT,Change date,D,,ABATABT___UPDDAT___Change date
ABATABT,ABA,Batch server (recurring tasks),UPDDATTIM,Date time,ADATIM,,ABATABT___UPDDATTIM___Date time
ABATABT,ABA,Batch server (recurring tasks),UPDTIM,Time,L,,ABATABT___UPDTIM___Time
ABATABT,ABA,Batch server (recurring tasks),UPDUSR,Change user,AUS,[AUS]CODUSR=[ABA]UPDUSR,ABATABT___UPDUSR___Change user
ABATABT,ABA,Batch server (recurring tasks),USER,User code,AUS,[AUS]CODUSR=[ABA]USER,ABATABT___USER___User code
ABATABTD,ABD,Batch server (recurring tasks),AUUID,Single identifier,AUUID,,ABATABTD___AUUID___Single identifier
ABATABTD,ABD,Batch server (recurring tasks),CODABT,Recurring task code,ABA,[ABA]CODABT=[ABD]CODABT,ABATABTD___CODABT___Recurring task code
ABATABTD,ABD,Batch server (recurring tasks),CODTAC,Task code,ABT,[ABT]CODTAC=[ABD]CODTAC,ABATABTD___CODTAC___Task code
ABATABTD,ABD,Batch server (recurring tasks),CREDATTIM,Date time,ADATIM,,ABATABTD___CREDATTIM___Date time
ABATABTD,ABD,Batch server (recurring tasks),CREUSR,User,AUS,[AUS]CODUSR=[ABD]CREUSR,ABATABTD___CREUSR___User
ABATABTD,ABD,Batch server (recurring tasks),LIG,Line number,C,,ABATABTD___LIG___Line number
ABATABTD,ABD,Batch server (recurring tasks),NUM,Number,C,,ABATABTD___NUM___Number
ABATABTD,ABD,Batch server (recurring tasks),PARAM,Parameter,A,,ABATABTD___PARAM___Parameter
ABATABTD,ABD,Batch server (recurring tasks),UPDDATTIM,Date time,ADATIM,,ABATABTD___UPDDATTIM___Date time
ABATABTD,ABD,Batch server (recurring tasks),UPDUSR,User,AUS,[AUS]CODUSR=[ABD]UPDUSR,ABATABTD___UPDUSR___User
ABATABTD,ABD,Batch server (recurring tasks),VALEUR,Value,A,,ABATABTD___VALEUR___Value
ABATCAL,ABC,Batch server calendar,AUUID,Single identifier,AUUID,,ABATCAL___AUUID___Single identifier
ABATCAL,ABC,Batch server calendar,COD,Calendar,ABC,[ABC]ABC0=[ABC]COD,ABATCAL___COD___Calendar
ABATCAL,ABC,Batch server calendar,CREDAT,Date created,D,,ABATCAL___CREDAT___Date created
ABATCAL,ABC,Batch server calendar,CREDATTIM,Date time,ADATIM,,ABATCAL___CREDATTIM___Date time
ABATCAL,ABC,Batch server calendar,CREUSR,Creation user,AUS,[AUS]CODUSR=[ABC]CREUSR,ABATCAL___CREUSR___Creation user
ABATCAL,ABC,Batch server calendar,DES,Description,DES,,ABATCAL___DES___Description
ABATCAL,ABC,Batch server calendar,ENDDAT,End date,D,,ABATCAL___ENDDAT___End date
ABATCAL,ABC,Batch server calendar,NBRDAT,Number of lines,C,,ABATCAL___NBRDAT___Number of lines
ABATCAL,ABC,Batch server calendar,STRDAT,Start date,D,,ABATCAL___STRDAT___Start date
ABATCAL,ABC,Batch server calendar,UPDDAT,Change date,D,,ABATCAL___UPDDAT___Change date
ABATCAL,ABC,Batch server calendar,UPDDATTIM,Date time,ADATIM,,ABATCAL___UPDDATTIM___Date time
ABATCAL,ABC,Batch server calendar,UPDUSR,Change user,AUS,[AUS]CODUSR=[ABC]UPDUSR,ABATCAL___UPDUSR___Change user
ABATGRP,ABG,Batch server (groups),AUUID,Single identifier,AUUID,,ABATGRP___AUUID___Single identifier
ABATGRP,ABG,Batch server (groups),CNTERR,Proceed if error,M,,ABATGRP___CNTERR___Proceed if error
ABATGRP,ABG,Batch server (groups),CODGRP,Group,ABG,[ABG]ABG0=[ABG]CODGRP,ABATGRP___CODGRP___Group
ABATGRP,ABG,Batch server (groups),CODTAC,Task code,ABT,[ABT]CODTAC=[ABG]CODTAC,ABATGRP___CODTAC___Task code
ABATGRP,ABG,Batch server (groups),CREDAT,Date created,D,,ABATGRP___CREDAT___Date created
ABATGRP,ABG,Batch server (groups),CREDATTIM,Date time,ADATIM,,ABATGRP___CREDATTIM___Date time
ABATGRP,ABG,Batch server (groups),CREUSR,Creation user,AUS,[AUS]CODUSR=[ABG]CREUSR,ABATGRP___CREUSR___Creation user
ABATGRP,ABG,Batch server (groups),DES,Description,ATX,,ABATGRP___DES___Description
ABATGRP,ABG,Batch server (groups),ENAFLG,Active,M,,ABATGRP___ENAFLG___Active
ABATGRP,ABG,Batch server (groups),HOR,Hourly constraints,ABH,[ABH]ABH0=[ABG]HOR,ABATGRP___HOR___Hourly constraints
ABATGRP,ABG,Batch server (groups),MODULE,Module,M,,ABATGRP___MODULE___Module
ABATGRP,ABG,Batch server (groups),NBTAC,Number,C,,ABATGRP___NBTAC___Number
ABATGRP,ABG,Batch server (groups),NIVEAU,Authorization level,C,,ABATGRP___NIVEAU___Authorization level
ABATGRP,ABG,Batch server (groups),SEQ,Sequence,L,,ABATGRP___SEQ___Sequence
ABATGRP,ABG,Batch server (groups),UPDDAT,Change date,D,,ABATGRP___UPDDAT___Change date
ABATGRP,ABG,Batch server (groups),UPDDATTIM,Date time,ADATIM,,ABATGRP___UPDDATTIM___Date time
ABATGRP,ABG,Batch server (groups),UPDUSR,Change user,AUS,[AUS]CODUSR=[ABG]UPDUSR,ABATGRP___UPDUSR___Change user
ABATHOR,ABH,Hourly constraints,AUUID,Single identifier,AUUID,,ABATHOR___AUUID___Single identifier
ABATHOR,ABH,Hourly constraints,CAL,Calendar,ABC,[ABC]ABC0=[ABH]CAL,ABATHOR___CAL___Calendar
ABATHOR,ABH,Hourly constraints,COD,Constraint,ABH,[ABH]ABH0=[ABH]COD,ABATHOR___COD___Constraint
ABATHOR,ABH,Hourly constraints,CREDAT,Date created,D,,ABATHOR___CREDAT___Date created
ABATHOR,ABH,Hourly constraints,CREDATTIM,Date time,ADATIM,,ABATHOR___CREDATTIM___Date time
ABATHOR,ABH,Hourly constraints,CREUSR,Creation user,AUS,[AUS]CODUSR=[ABH]CREUSR,ABATHOR___CREUSR___Creation user
ABATHOR,ABH,Hourly constraints,DAYOPE,Working day,M,,ABATHOR___DAYOPE___Working day
ABATHOR,ABH,Hourly constraints,DES,Description,DES,,ABATHOR___DES___Description
ABATHOR,ABH,Hourly constraints,ENDCLO,End time,HM,,ABATHOR___ENDCLO___End time
ABATHOR,ABH,Hourly constraints,ENDOPE,End time,HM,,ABATHOR___ENDOPE___End time
ABATHOR,ABH,Hourly constraints,NBRCLO,Lines,C,,ABATHOR___NBRCLO___Lines
ABATHOR,ABH,Hourly constraints,NBROPE,Lines,C,,ABATHOR___NBROPE___Lines
ABATHOR,ABH,Hourly constraints,STRCLO,Start time,HM,,ABATHOR___STRCLO___Start time
ABATHOR,ABH,Hourly constraints,STROPE,Start time,HM,,ABATHOR___STROPE___Start time
ABATHOR,ABH,Hourly constraints,UPDDAT,Change date,D,,ABATHOR___UPDDAT___Change date
ABATHOR,ABH,Hourly constraints,UPDDATTIM,Date time,ADATIM,,ABATHOR___UPDDATTIM___Date time
ABATHOR,ABH,Hourly constraints,UPDUSR,Change user,AUS,[AUS]CODUSR=[ABH]UPDUSR,ABATHOR___UPDUSR___Change user
ABATPAR,ABP,Batch server (parameters),APPLI,Server name,A,,ABATPAR___APPLI___Server name
ABATPAR,ABP,Batch server (parameters),AUUID,Single identifier,AUUID,,ABATPAR___AUUID___Single identifier
ABATPAR,ABP,Batch server (parameters),CREDATTIM,Date time,ADATIM,,ABATPAR___CREDATTIM___Date time
ABATPAR,ABP,Batch server (parameters),CREUSR,User,AUS,[AUS]CODUSR=[ABP]CREUSR,ABATPAR___CREUSR___User
ABATPAR,ABP,Batch server (parameters),FLGPATCH,Patch,M,,ABATPAR___FLGPATCH___Patch
ABATPAR,ABP,Batch server (parameters),JOB,Batch,M,,ABATPAR___JOB___Batch
ABATPAR,ABP,Batch server (parameters),LECPID,Waiting read PID,C,,ABATPAR___LECPID___Waiting read PID
ABATPAR,ABP,Batch server (parameters),NBTACHE,No. active requests,C,,ABATPAR___NBTACHE___No. active requests
ABATPAR,ABP,Batch server (parameters),NUMREQ,Query no.,L,,ABATPAR___NUMREQ___Query no.
ABATPAR,ABP,Batch server (parameters),PROCESS,Process no.,A,,ABATPAR___PROCESS___Process no.
ABATPAR,ABP,Batch server (parameters),REPJOB,Batch files,FIC,,ABATPAR___REPJOB___Batch files
ABATPAR,ABP,Batch server (parameters),RETARD,Late,L,,ABATPAR___RETARD___Late
ABATPAR,ABP,Batch server (parameters),RQTLOG,Log,M,,ABATPAR___RQTLOG___Log
ABATPAR,ABP,Batch server (parameters),SPOOL,Search key,A,,ABATPAR___SPOOL___Search key
ABATPAR,ABP,Batch server (parameters),STOP,Stop flag,C,,ABATPAR___STOP___Stop flag
ABATPAR,ABP,Batch server (parameters),TEMPS,Search,L,,ABATPAR___TEMPS___Search
ABATPAR,ABP,Batch server (parameters),TIMIMP,Time-out,L,,ABATPAR___TIMIMP___Time-out
ABATPAR,ABP,Batch server (parameters),TIMOUT,Time-out,L,,ABATPAR___TIMOUT___Time-out
ABATPAR,ABP,Batch server (parameters),UPDDATTIM,Date time,ADATIM,,ABATPAR___UPDDATTIM___Date time
ABATPAR,ABP,Batch server (parameters),UPDUSR,User,AUS,[AUS]CODUSR=[ABP]UPDUSR,ABATPAR___UPDUSR___User
ABATRQT,ABR,Batch server (queries),AUUID,Single identifier,AUUID,,ABATRQT___AUUID___Single identifier
ABATRQT,ABR,Batch server (queries),CNTERR,Proceed if error,M,,ABATRQT___CNTERR___Proceed if error
ABATRQT,ABR,Batch server (queries),CODABT,Recurring task code,ABA,[ABA]CODABT=[ABR]CODABT,ABATRQT___CODABT___Recurring task code
ABATRQT,ABR,Batch server (queries),CREDATTIM,Date time,ADATIM,,ABATRQT___CREDATTIM___Date time
ABATRQT,ABR,Batch server (queries),CREUSR,User,AUS,[AUS]CODUSR=[ABR]CREUSR,ABATRQT___CREUSR___User
ABATRQT,ABR,Batch server (queries),DAT,Date,D,,ABATRQT___DAT___Date
ABATRQT,ABR,Batch server (queries),DFIN,End date,D,,ABATRQT___DFIN___End date
ABATRQT,ABR,Batch server (queries),DOSSIER,Folder,ADS,[ADS]DOSSIER=[ABR]DOSSIER,ABATRQT___DOSSIER___Folder
ABATRQT,ABR,Batch server (queries),EPUR,Purge,M,,ABATRQT___EPUR___Purge
ABATRQT,ABR,Batch server (queries),ETAT,Processing,ADC,,ABATRQT___ETAT___Processing
ABATRQT,ABR,Batch server (queries),FLAG,Status,M,,ABATRQT___FLAG___Status
ABATRQT,ABR,Batch server (queries),FLGV3,V3 flag,C,,ABATRQT___FLGV3___V3 flag
ABATRQT,ABR,Batch server (queries),FRQ,Frequency (min),L,,ABATRQT___FRQ___Frequency (min)
ABATRQT,ABR,Batch server (queries),FRQFIN,End time,HM,,ABATRQT___FRQFIN___End time
ABATRQT,ABR,Batch server (queries),GRP,Group,ABG,[ABG]ABG0=[ABR]GRP,ABATRQT___GRP___Group
ABATRQT,ABR,Batch server (queries),HDEB,Start time,HS,,ABATRQT___HDEB___Start time
ABATRQT,ABR,Batch server (queries),HEURE,Time,HM,,ABATRQT___HEURE___Time
ABATRQT,ABR,Batch server (queries),HFIN,Time,HS,,ABATRQT___HFIN___Time
ABATRQT,ABR,Batch server (queries),IMPETX,Printer,C,,ABATRQT___IMPETX___Printer
ABATRQT,ABR,Batch server (queries),JOB,Batch file,FIC,,ABATRQT___JOB___Batch file
ABATRQT,ABR,Batch server (queries),LAN,Language,LAN,[TLA]TLA0=[ABR]LAN,ABATRQT___LAN___Language
ABATRQT,ABR,Batch server (queries),MESSAGE,Message - user,M,,ABATRQT___MESSAGE___Message - user
ABATRQT,ABR,Batch server (queries),MONO,Single-user,M,,ABATRQT___MONO___Single-user
ABATRQT,ABR,Batch server (queries),MOTINT,Reason for interruption,DES,,ABATRQT___MOTINT___Reason for interruption
ABATRQT,ABR,Batch server (queries),NUMGRP,Order no.,L,,ABATRQT___NUMGRP___Order no.
ABATRQT,ABR,Batch server (queries),NUMREQ,Query no.,L,,ABATRQT___NUMREQ___Query no.
ABATRQT,ABR,Batch server (queries),ONE,One single query,M,,ABATRQT___ONE___One single query
ABATRQT,ABR,Batch server (queries),PORT,Port,L,,ABATRQT___PORT___Port
ABATRQT,ABR,Batch server (queries),PRIO,Priority,C,,ABATRQT___PRIO___Priority
ABATRQT,ABR,Batch server (queries),PROCESS,Process no.,A,,ABATRQT___PROCESS___Process no.
ABATRQT,ABR,Batch server (queries),SEQGRP,Sequence,L,,ABATRQT___SEQGRP___Sequence
ABATRQT,ABR,Batch server (queries),SERVER,Server,AMC,,ABATRQT___SERVER___Server
ABATRQT,ABR,Batch server (queries),SESSIONID,Session ID,L,,ABATRQT___SESSIONID___Session ID
ABATRQT,ABR,Batch server (queries),TACHE,Task code,ABT,[ABT]CODTAC=[ABR]TACHE,ABATRQT___TACHE___Task code
ABATRQT,ABR,Batch server (queries),TIMOUT,Time-out,L,,ABATRQT___TIMOUT___Time-out
ABATRQT,ABR,Batch server (queries),TYPTAC,Task type,M,,ABATRQT___TYPTAC___Task type
ABATRQT,ABR,Batch server (queries),UPDDATTIM,Date time,ADATIM,,ABATRQT___UPDDATTIM___Date time
ABATRQT,ABR,Batch server (queries),UPDUSR,User,AUS,[AUS]CODUSR=[ABR]UPDUSR,ABATRQT___UPDUSR___User
ABATRQT,ABR,Batch server (queries),USER,User code,AUS,[AUS]CODUSR=[ABR]USER,ABATRQT___USER___User code
ABATRQT,ABR,Batch server (queries),USRINT,User,AUS,[AUS]CODUSR=[ABR]USRINT,ABATRQT___USRINT___User
ABATRQTL,ABL,Batch server (queries),AUUID,Single identifier,AUUID,,ABATRQTL___AUUID___Single identifier
ABATRQTL,ABL,Batch server (queries),CREDATTIM,Date time,ADATIM,,ABATRQTL___CREDATTIM___Date time
ABATRQTL,ABL,Batch server (queries),CREUSR,User,AUS,[AUS]CODUSR=[ABL]CREUSR,ABATRQTL___CREUSR___User
ABATRQTL,ABL,Batch server (queries),NUM,Number,C,,ABATRQTL___NUM___Number
ABATRQTL,ABL,Batch server (queries),NUMREQ,Query no.,L,,ABATRQTL___NUMREQ___Query no.
ABATRQTL,ABL,Batch server (queries),PARAM,Parameter,A,,ABATRQTL___PARAM___Parameter
ABATRQTL,ABL,Batch server (queries),UPDDATTIM,Date time,ADATIM,,ABATRQTL___UPDDATTIM___Date time
ABATRQTL,ABL,Batch server (queries),UPDUSR,User,AUS,[AUS]CODUSR=[ABL]UPDUSR,ABATRQTL___UPDUSR___User
ABATRQTL,ABL,Batch server (queries),VALEUR,Value,A,,ABATRQTL___VALEUR___Value
ABATTAC,ABT,Batch server (tasks),AUUID,Single identifier,AUUID,,ABATTAC___AUUID___Single identifier
ABATTAC,ABT,Batch server (tasks),CODTAC,Task code,ABT,[ABT]CODTAC=[ABT]CODTAC,ABATTAC___CODTAC___Task code
ABATTAC,ABT,Batch server (tasks),CREDAT,Date created,D,,ABATTAC___CREDAT___Date created
ABATTAC,ABT,Batch server (tasks),CREDATTIM,Date time,ADATIM,,ABATTAC___CREDATTIM___Date time
ABATTAC,ABT,Batch server (tasks),CREUSR,Creation user,AUS,[AUS]CODUSR=[ABT]CREUSR,ABATTAC___CREUSR___Creation user
ABATTAC,ABT,Batch server (tasks),DES,Description,ATX,,ABATTAC___DES___Description
ABATTAC,ABT,Batch server (tasks),DOSPAR,Parameter folder,ADS,[ADS]DOSSIER=[ABT]DOSPAR,ABATTAC___DOSPAR___Parameter folder
ABATTAC,ABT,Batch server (tasks),ENAFLG,Active,M,,ABATTAC___ENAFLG___Active
ABATTAC,ABT,Batch server (tasks),FONCTION,Function,AFC,[AFC]CODINT=[ABT]FONCTION,ABATTAC___FONCTION___Function
ABATTAC,ABT,Batch server (tasks),HOR,Hourly constraints,ABH,[ABH]ABH0=[ABT]HOR,ABATTAC___HOR___Hourly constraints
ABATTAC,ABT,Batch server (tasks),MESSAGE,User message,M,,ABATTAC___MESSAGE___User message
ABATTAC,ABT,Batch server (tasks),MODULE,Module,M,,ABATTAC___MODULE___Module
ABATTAC,ABT,Batch server (tasks),MONO,Single-user,M,,ABATTAC___MONO___Single-user
ABATTAC,ABT,Batch server (tasks),MULTIDOS,Multi-folder,M,,ABATTAC___MULTIDOS___Multi-folder
ABATTAC,ABT,Batch server (tasks),NIVEAU,Authorization level,C,,ABATTAC___NIVEAU___Authorization level
ABATTAC,ABT,Batch server (tasks),PARAM,Parameter,A,,ABATTAC___PARAM___Parameter
ABATTAC,ABT,Batch server (tasks),PRIO,Priority,C,,ABATTAC___PRIO___Priority
ABATTAC,ABT,Batch server (tasks),PROGPAR,Parameter program,ADC,,ABATTAC___PROGPAR___Parameter program
ABATTAC,ABT,Batch server (tasks),RETARD,Late,L,,ABATTAC___RETARD___Late
ABATTAC,ABT,Batch server (tasks),TIMOUT,Time-out,A,,ABATTAC___TIMOUT___Time-out
ABATTAC,ABT,Batch server (tasks),TRAIT,Object,ADC,,ABATTAC___TRAIT___Object
ABATTAC,ABT,Batch server (tasks),TYPTAC,Task type,M,,ABATTAC___TYPTAC___Task type
ABATTAC,ABT,Batch server (tasks),UPDDAT,Change date,D,,ABATTAC___UPDDAT___Change date
ABATTAC,ABT,Batch server (tasks),UPDDATTIM,Date time,ADATIM,,ABATTAC___UPDDATTIM___Date time
ABATTAC,ABT,Batch server (tasks),UPDUSR,Change user,AUS,[AUS]CODUSR=[ABT]UPDUSR,ABATTAC___UPDUSR___Change user
ABICOND,AII,Predefined conditions,ABM,Datamart,ABM,[ABM]ABM0=[AII]ABM,ABICOND___ABM___Datamart
ABICOND,AII,Predefined conditions,ACV,Activity code,ACV,[ACV]CODACT=[AII]ACV,ABICOND___ACV___Activity code
ABICOND,AII,Predefined conditions,AUUID,Single identifier,AUUID,,ABICOND___AUUID___Single identifier
ABICOND,AII,Predefined conditions,CNDDEF,Condition,AFR,,ABICOND___CNDDEF___Condition
ABICOND,AII,Predefined conditions,CNDORA,Oracle condition,AFR,,ABICOND___CNDORA___Oracle condition
ABICOND,AII,Predefined conditions,CNDSQL,Sql-server condition,AFR,,ABICOND___CNDSQL___Sql-server condition
ABICOND,AII,Predefined conditions,COD,Code,AII,[AII]AII0=[AII]COD,ABICOND___COD___Code
ABICOND,AII,Predefined conditions,CODABF,Fact table,ABF,[ABF]ABF0=[AII]CODABF,ABICOND___CODABF___Fact table
ABICOND,AII,Predefined conditions,CODABF1,Fact table,ABF,[ABF]ABF0=[AII]CODABF1,ABICOND___CODABF1___Fact table
ABICOND,AII,Predefined conditions,CODDIM1,Dimension,ABI,[ABI]ABI0=[AII]CODDIM1,ABICOND___CODDIM1___Dimension
ABICOND,AII,Predefined conditions,CODDIM2,Dimension,ABI,[ABI]ABI0=[AII]CODDIM2,ABICOND___CODDIM2___Dimension
ABICOND,AII,Predefined conditions,CODDIM3,Dimension,ABI,[ABI]ABI0=[AII]CODDIM3,ABICOND___CODDIM3___Dimension
ABICOND,AII,Predefined conditions,CODDIM4,Dimension,ABI,[ABI]ABI0=[AII]CODDIM4,ABICOND___CODDIM4___Dimension
ABICOND,AII,Predefined conditions,CODDIM5,Dimension,ABI,[ABI]ABI0=[AII]CODDIM5,ABICOND___CODDIM5___Dimension
ABICOND,AII,Predefined conditions,CODDIM6,Dimension,ABI,[ABI]ABI0=[AII]CODDIM6,ABICOND___CODDIM6___Dimension
ABICOND,AII,Predefined conditions,CODDIM7,Dimension,ABI,[ABI]ABI0=[AII]CODDIM7,ABICOND___CODDIM7___Dimension
ABICOND,AII,Predefined conditions,CODDIM8,Dimension,ABI,[ABI]ABI0=[AII]CODDIM8,ABICOND___CODDIM8___Dimension
ABICOND,AII,Predefined conditions,CODDIM9,Dimension,ABI,[ABI]ABI0=[AII]CODDIM9,ABICOND___CODDIM9___Dimension
ABICOND,AII,Predefined conditions,CODFLD1,Field code,AVA,,ABICOND___CODFLD1___Field code
ABICOND,AII,Predefined conditions,CODLNK,Dimension,ABI,[ABI]ABI0=[AII]CODLNK,ABICOND___CODLNK___Dimension
ABICOND,AII,Predefined conditions,CREDAT,Date created,D,,ABICOND___CREDAT___Date created
ABICOND,AII,Predefined conditions,CREDATTIM,Date time,ADATIM,,ABICOND___CREDATTIM___Date time
ABICOND,AII,Predefined conditions,CREUSR,Creation user,AUS,[AUS]CODUSR=[AII]CREUSR,ABICOND___CREUSR___Creation user
ABICOND,AII,Predefined conditions,DES,Description,ATX,,ABICOND___DES___Description
ABICOND,AII,Predefined conditions,EXPLNK,Link expression,A,,ABICOND___EXPLNK___Link expression
ABICOND,AII,Predefined conditions,FLDDIM1,Field code,AVA,,ABICOND___FLDDIM1___Field code
ABICOND,AII,Predefined conditions,FLDDIM2,Field code,AVA,,ABICOND___FLDDIM2___Field code
ABICOND,AII,Predefined conditions,FLDDIM3,Field code,AVA,,ABICOND___FLDDIM3___Field code
ABICOND,AII,Predefined conditions,FLDDIM4,Field code,AVA,,ABICOND___FLDDIM4___Field code
ABICOND,AII,Predefined conditions,FLDDIM5,Field code,AVA,,ABICOND___FLDDIM5___Field code
ABICOND,AII,Predefined conditions,FLDDIM6,Field code,AVA,,ABICOND___FLDDIM6___Field code
ABICOND,AII,Predefined conditions,FLDDIM7,Field code,AVA,,ABICOND___FLDDIM7___Field code
ABICOND,AII,Predefined conditions,FLDDIM8,Field code,AVA,,ABICOND___FLDDIM8___Field code
ABICOND,AII,Predefined conditions,FLDDIM9,Field code,AVA,,ABICOND___FLDDIM9___Field code
ABICOND,AII,Predefined conditions,INTEVAL,Evaluated title,A,,ABICOND___INTEVAL___Evaluated title
ABICOND,AII,Predefined conditions,INTVALTEX,Evaluated title,A,,ABICOND___INTVALTEX___Evaluated title
ABICOND,AII,Predefined conditions,MODULE,Module,M,,ABICOND___MODULE___Module
ABICOND,AII,Predefined conditions,ORD,Order,C,,ABICOND___ORD___Order
